ФАРЕРСКИЕ О-ВА	,	FO
ФИДЖИ	,	FJ
ФИЛИППИНЫ	,	PH
ФИНЛЯНДИЯ	,	FI
ФОЛКЛЕНДСКИЕ О-ВА	,	FK
ФРАНЦИЯ	,	FR
ФР. ПОЛИНЕЗИЯ	,	PF
ФР. ЮЖНЫЕ ТЕРРИТОР.	,	TF
ХЕРД И МАКДОНАЛЬД	,	HM
ЦЕНТР. АФР. РЕСПУБЛ	,	CF
ЧАД	,	td
ЧЕШСКАЯ РЕСПУБЛИКА	,	CZ
ЧИЛИ	,	CL
ШВЕЙЦАРИЯ	,	CH
ШВЕЦИЯ	,	SE
ШПИЦБЕРГЕН И ЯН-МАЙЕ	,	SJ
ШРИ-ЛАНКА	,	LK
ЭКВАДОР	,	EC
ЭКВАТОР. ГВИНЕЯ	,	GQ
ЭСТОНИЯ	,	EE
ЭФИОПИЯ	,	ET
ЮГОСЛАВИЯ	,	YU
ЮЖНО-АФР. РЕСПУБ.	,	ZA
ЯМАЙКА	,	JM
ЯПОНИЯ	,	JP
